trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d,dgs1,dgs10,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets,financial_period_end,market_cap_proxy,risk_free_rate_proxy,market_default_distance_proxy,market_leverage_proxy,kmv_distance_proxy,ttc_score_proxy
2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,187.14999389648438,41781900,185.29139709472656,-0.009002114894726576,,4.87,4.17,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2861247704260.513,0.0487,0.9795550731546612,0.04472892425237039,,32.92
2024-02-13,185.77000427246094,186.2100067138672,183.50999450683594,185.0399932861328,56529500,183.20237731933594,-0.011274240510597777,,4.99,4.31,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2828989309482.2847,0.0499,0.9793219437754944,0.04521589747235393,,32.92
2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,184.14999389648438,54630500,182.3212127685547,-0.004809787753164985,,4.94,4.27,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2815382471347.702,0.049400000000000006,0.9792220060345842,0.045424500810945415,,32.92
2024-02-15,183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,65434500,182.03411865234375,-0.001574661071256589,,4.93,4.24,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2810949198169.3726,0.0493,0.9791892361348626,0.04549288265859129,,32.92
2024-02-16,183.4199981689453,184.85000610351562,181.6699981689453,182.30999755859375,49752500,180.49951171875,-0.008430325836469188,,4.98,4.3,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2787251980519.043,0.049800000000000004,0.9790123030106856,0.04586192466976497,,32.92
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.55999755859375,53665600,179.75694274902344,-0.004113966639885502,,4.97,4.27,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2775785318854.233,0.049699999999999994,0.9789256036471342,0.046042655546992016,,32.92
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210938,182.32000732421875,41371400,180.50938415527344,0.004185882307202737,,4.98,4.32,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2787404429509.018,0.049800000000000004,0.9790134508718191,0.04585953141375375,,32.92
2024-02-22,183.47999572753906,184.9600067138672,182.4600067138672,184.3699951171875,52292200,182.53900146484375,0.011243832663150766,,5.02,4.33,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2818745538478.943,0.050199999999999995,0.9792467964200958,0.04537276352422489,,32.92
2024-02-23,185.00999450683594,185.0399932861328,182.22999572753906,182.52000427246094,45119700,180.70742797851562,-0.01003387479733131,,5.0,4.26,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2790462598660.3086,0.05,0.9790364507920355,0.045811574739882586,,32.92
2024-02-26,182.24000549316406,182.75999450683594,180.64999389648438,181.16000366210938,40867400,179.3609161376953,-0.007451336427523048,,5.03,4.28,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2769669923049.2705,0.050300000000000004,0.9788790716492323,0.046139626514167864,,32.92
2024-02-27,181.10000610351562,183.9199981689453,179.55999755859375,182.6300048828125,54318900,180.8163299560547,0.008114442375183106,,5.03,4.31,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2792144250038.132,0.050300000000000004,0.9790490767089841,0.04578524664322803,,32.92
2024-02-28,182.50999450683594,183.1199951171875,180.1300048828125,181.4199981689453,48953900,179.61831665039062,-0.006625581361789701,,5.0,4.27,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2773644671135.6504,0.05,0.9789093388173444,0.04607655309360984,,32.92
2024-02-29,181.27000427246094,182.57000732421875,179.52999877929688,180.75,136682600,178.95497131347656,-0.0036930829176247126,,5.01,4.25,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2763401371381.1187,0.0501,0.9788311605379412,0.046239450905385705,,32.92
