period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,interest_expense,current_debt,shares_outstanding,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2018-05-04,2018-06-12,10-Q,2019,Q1,41231000000.0,44114000000.0,41231000000.0,44114000000.0,44770000000.0,21356000000.0,-153000000.0,-538000000.0,16980000000.0,15845000000.0,,,848171289,66499000000.0,88884000000.0,1.0699231161019622,0.934646597452056,-0.02519198351751264,-0.013048434430404307,,0.38429822221144283
2018-05-04,2019-03-29,10-K,2019,Q4,,,,,,21356000000.0,,-636000000.0,,,,,848171289,,,,,-0.029780857838546546,,,
2018-05-04,2019-06-10,10-Q,2020,Q1,,,,,,21356000000.0,-153000000.0,-538000000.0,16980000000.0,15845000000.0,,,848171289,,,,,-0.02519198351751264,,,
2018-05-04,2019-09-10,10-Q,2020,Q2,,,,,,,,,16980000000.0,,,,848171289,,,,,,,,
2018-05-04,2020-03-27,10-K,2020,FY,,,,,,21356000000.0,,,,,,,848171289,,,,,,,,
2018-08-03,2018-09-11,10-Q,2019,Q2,43125000000.0,49178000000.0,43125000000.0,49178000000.0,40414000000.0,22942000000.0,-13000000.0,-461000000.0,15211000000.0,15805000000.0,,,848171289,69385000000.0,89592000000.0,1.140359420289855,0.8769165073813494,-0.020094150466393516,-0.010689855072463767,,0.3664927536231884
2018-08-03,2019-03-29,10-K,2019,Q4,,,,,,22942000000.0,,-499000000.0,,,,,848171289,,,,,-0.021750501264057188,,,
2018-08-03,2019-09-10,10-Q,2020,Q2,,,,,,22942000000.0,-13000000.0,-461000000.0,15211000000.0,15805000000.0,,,848171289,,,,,-0.020094150466393516,,,
2018-08-03,2019-12-09,10-Q,2020,Q3,,,,,,,,,15211000000.0,,,,848171289,,,,,,,,
2018-08-03,2020-03-27,10-K,2020,FY,,,,,,22942000000.0,,,,,,,848171289,,,,,,,,
2018-11-02,2018-12-10,10-Q,2019,Q3,42959000000.0,47583000000.0,42959000000.0,47583000000.0,40507000000.0,22482000000.0,-356000000.0,-895000000.0,14425000000.0,15676000000.0,,,848171289,67836500000.0,88090000000.0,1.1076375148397308,0.9028224365844945,-0.039809625478160304,-0.02083381829185968,,0.36490607323261715
2018-11-02,2019-03-29,10-K,2019,Q4,,,,,,22482000000.0,,-876000000.0,,,,,848171289,,,,,-0.03896450493728316,,,
2018-11-02,2019-12-09,10-Q,2020,Q3,,,,,,22482000000.0,-356000000.0,-895000000.0,14425000000.0,15676000000.0,,,848171289,,,,,-0.039809625478160304,,,
2018-11-02,2020-03-27,10-K,2020,FY,,,,,,22482000000.0,,,,,,,848171289,,,,,,,,
2019-02-01,2019-03-29,10-K,2019,Q4,36138000000.0,44972000000.0,36138000000.0,44972000000.0,49201000000.0,23841000000.0,-191000000.0,-2181000000.0,-942000000.0,10240000000.0,2488000000.0,,848171289,69572500000.0,94173000000.0,1.2444518235652222,0.8035666637018589,-0.09148106203598842,-0.06035198406109912,-0.0767684887459807,0.28335823786595826
2019-02-01,2019-06-10,10-Q,2020,Q1,36138000000.0,44972000000.0,36138000000.0,44972000000.0,49201000000.0,,,,-942000000.0,10240000000.0,,,848171289,69572500000.0,94173000000.0,1.2444518235652222,0.8035666637018589,,,,0.28335823786595826
