period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2010-06-30,2012-07-27,10-Q,2012,Q2,,,,,,,,,,,1629000000.0,452065256.0,,,,,,,,,
2010-07-15,2010-07-23,10-Q,2010,Q2,,,,,,,,,,,,447825009.0,,,,,,,,,
2010-09-30,2010-10-22,10-Q,2010,Q3,9559000000.0,6375000000.0,9559000000.0,6375000000.0,164000000.0,,7560000000.0,268000000.0,231000000.0,6397000000.0,1539000000.0,448836757.0,11000000.0,6457000000.0,6539000000.0,0.6669107647243435,1.499450980392157,0.030555555555555555,0.024165707710011506,24.363636363636363,0.1610001046134533
2010-09-30,2011-01-28,10-K,2010,FY,,,,,,,7560000000.0,,231000000.0,,,451003759.0,,,,,,0.030555555555555555,,,
2010-09-30,2011-10-26,10-Q,2011,Q3,,,,,,,7560000000.0,268000000.0,231000000.0,,1539000000.0,454754345.0,11000000.0,,,,,0.030555555555555555,,24.363636363636363,
2010-09-30,2012-02-01,10-K,2011,FY,,,,,,,7560000000.0,,231000000.0,,,455068465.0,,,,,,0.030555555555555555,,,
2010-09-30,2012-10-26,10-Q,2012,Q3,,,,,,,,,,,1539000000.0,452958533.0,,,,,,,,,
2010-10-14,2010-10-22,10-Q,2010,Q3,,,,,,,,,,,,448836757.0,,,,,,,,,
2010-12-31,2011-01-28,10-K,2010,FY,13747000000.0,10372000000.0,13747000000.0,10372000000.0,184000000.0,,12948000000.0,1406000000.0,416000000.0,6864000000.0,3777000000.0,451003759.0,39000000.0,10464000000.0,10556000000.0,0.7544918891394486,1.3253952950250676,0.0321285140562249,0.030261147886811668,36.05128205128205,0.2747508547319415
2010-12-31,2011-04-27,10-Q,2011,Q1,13747000000.0,10372000000.0,13747000000.0,10372000000.0,,,,,,6864000000.0,3777000000.0,452043073.0,,10372000000.0,10372000000.0,0.7544918891394486,1.3253952950250676,,,,0.2747508547319415
2010-12-31,2011-07-27,10-Q,2011,Q2,13747000000.0,10372000000.0,13747000000.0,10372000000.0,,,,,,6864000000.0,3777000000.0,453935325.0,,10372000000.0,10372000000.0,0.7544918891394486,1.3253952950250676,,,,0.2747508547319415
2010-12-31,2011-10-26,10-Q,2011,Q3,13747000000.0,10372000000.0,13747000000.0,10372000000.0,,,,,,6864000000.0,3777000000.0,454754345.0,,10372000000.0,10372000000.0,0.7544918891394486,1.3253952950250676,,,,0.2747508547319415
2010-12-31,2012-02-01,10-K,2011,FY,13747000000.0,10372000000.0,13747000000.0,10372000000.0,184000000.0,,12948000000.0,1406000000.0,416000000.0,6864000000.0,3777000000.0,455068465.0,39000000.0,10464000000.0,10556000000.0,0.7544918891394486,1.3253952950250676,0.0321285140562249,0.030261147886811668,36.05128205128205,0.2747508547319415
2010-12-31,2012-04-27,10-Q,2012,Q1,,,,,,,,,,,3777000000.0,450525501.0,,,,,,,,,
2010-12-31,2012-07-27,10-Q,2012,Q2,,,,,,,,,,,3777000000.0,452065256.0,,,,,,,,,
2010-12-31,2012-10-26,10-Q,2012,Q3,,,,,,,,,,,3777000000.0,452958533.0,,,,,,,,,
