period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2011-12-31,2013-07-25,10-Q,2013,Q2,,,,,,,,,,,12803000000.0,4433153574.0,,,,,,,,,
2011-12-31,2013-10-24,10-Q,2013,Q3,,,,,,,,,,,12803000000.0,4415922733.0,,,,,,,,,
2011-12-31,2014-02-27,10-K,2013,FY,,,,,,,,10173000000.0,8646000000.0,,12803000000.0,4405893150.0,417000000.0,,,,,,,24.39568345323741,
2011-12-31,2015-02-25,10-K,2014,FY,,,,,,,,,,,12803000000.0,4366243616.0,,,,,,,,,
2012-02-20,2012-02-23,10-K,2011,FY,,,,,,,,,,,,2263204221.0,,,,,,,,,
2012-03-30,2012-04-26,10-Q,2012,Q1,28023000000.0,24846000000.0,28023000000.0,24846000000.0,16351000000.0,1389000000.0,,2509000000.0,2067000000.0,33218000000.0,10664000000.0,2257934272.0,88000000.0,9564500000.0,17740000000.0,0.8866288405952254,1.127867664815262,,0.07376083931056632,28.511363636363637,0.3805445526888627
2012-03-30,2013-04-25,10-Q,2013,Q1,,,,,,,,2509000000.0,2067000000.0,,10664000000.0,4453755295.0,88000000.0,,,,,,,28.511363636363637,
2012-04-23,2012-04-26,10-Q,2012,Q1,,,,,,,,,,,,2257934272.0,,,,,,,,,
2012-06-29,2012-07-26,10-Q,2012,Q2,29325000000.0,26482000000.0,29325000000.0,26482000000.0,16390000000.0,128000000.0,,3294000000.0,2800000000.0,32629000000.0,9337000000.0,2250961597.0,112000000.0,8323000000.0,16518000000.0,0.9030520034100596,1.1073559398836945,,0.09548167092924126,29.410714285714285,0.31839727195225914
2012-06-29,2013-07-25,10-Q,2013,Q2,,,,,,,,3294000000.0,2800000000.0,,9337000000.0,4433153574.0,112000000.0,,,,,,,29.410714285714285,
2012-07-23,2012-07-26,10-Q,2012,Q2,,,,,,,,,,,,2250961597.0,,,,,,,,,
2012-09-28,2012-10-25,10-Q,2012,Q3,29712000000.0,27008000000.0,29712000000.0,27008000000.0,16181000000.0,341000000.0,,2793000000.0,2329000000.0,33590000000.0,9615000000.0,4485161506.0,102000000.0,8431500000.0,16522000000.0,0.908992999461497,1.1001184834123223,,0.07838583737210554,27.38235294117647,0.3236066235864297
