period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2010-08-29,2013-10-16,10-K,2013,FY,,,,,,,,,,10930000000.0,3214000000.0,436922037.0,,,,,,,,,
2010-10-01,2010-10-18,10-K,2010,FY,,,,,,,,,,,,432333947.0,,,,,,,,,
2010-11-21,2010-12-17,10-Q,2011,Q1,13558000000.0,11502000000.0,13558000000.0,11502000000.0,2143000000.0,24000000.0,18823000000.0,525000000.0,332000000.0,11707000000.0,3739000000.0,436524744.0,26000000.0,1095500000.0,2167000000.0,0.8483552146334268,1.178751521474526,0.01763799606863943,0.02448738752028323,20.192307692307693,0.2757781383684909
2010-11-21,2011-10-14,10-K,2011,FY,,,,,,,18823000000.0,525000000.0,332000000.0,,,433365150.0,26000000.0,,,,,0.01763799606863943,,20.192307692307693,
2010-11-21,2011-12-16,10-Q,2012,Q1,26043000000.0,,,,,,18823000000.0,525000000.0,332000000.0,11707000000.0,3739000000.0,434928977.0,26000000.0,,,,,0.01763799606863943,0.012748147294858504,20.192307692307693,0.1435702492032408
2010-11-21,2012-10-19,10-K,2012,FY,,,,,,,18823000000.0,525000000.0,332000000.0,,,432424379.0,26000000.0,,,,,0.01763799606863943,,20.192307692307693,
2010-12-10,2010-12-17,10-Q,2011,Q1,,,,,,,,,,,,436524744.0,,,,,,,,,
2011-02-13,2011-03-17,10-Q,2011,Q2,13138000000.0,10746000000.0,13138000000.0,10746000000.0,2144000000.0,1000000.0,20449000000.0,596000000.0,369000000.0,12124000000.0,3355000000.0,436859609.0,27000000.0,1073000000.0,2145000000.0,0.8179327142639671,1.2225944537502327,0.018044892170766297,0.028086466737707413,22.074074074074073,0.2553661135637083
2011-02-13,2011-10-14,10-K,2011,FY,,,,,,,20449000000.0,596000000.0,369000000.0,,,433365150.0,27000000.0,,,,,0.018044892170766297,,22.074074074074073,
2011-02-13,2012-03-15,10-Q,2012,Q2,25716000000.0,,,,,,20449000000.0,596000000.0,369000000.0,12124000000.0,3355000000.0,433973086.0,27000000.0,,,,,0.018044892170766297,0.01434904339710686,22.074074074074073,0.13046352465391195
2011-02-13,2012-10-19,10-K,2012,FY,,,,,,,20449000000.0,596000000.0,369000000.0,,,432424379.0,27000000.0,,,,,0.018044892170766297,,22.074074074074073,
2011-03-04,2011-03-17,10-Q,2011,Q2,,,,,,,,,,,,436859609.0,,,,,,,,,
