period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,revenue,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2017-09-30,2018-02-16,10-K,2017,FY,,,,,,,,943000000.0,,,1218801890.0,,,,,,,,,,
2017-09-30,2018-11-02,10-Q,2018,Q3,,,,,,,1538000000.0,943000000.0,,1549000000.0,1219434812.0,306000000.0,,,,,,,,5.026143790849673,
2017-09-30,2019-06-07,10-K,2018,FY,7127000000.0,9450000000.0,7127000000.0,9450000000.0,,457000000.0,1491000000.0,912000000.0,58812000000.0,1549000000.0,1219938804.0,306000000.0,,457000000.0,457000000.0,1.3259435947804126,0.7541798941798942,,0.12796408025817316,4.872549019607843,0.21734250035077873
2017-10-28,2017-11-07,10-Q,2017,Q3,,,,,,,,,,,1218467836.0,,,,,,,,,,
2017-12-30,2018-02-16,10-K,2017,FY,7266000000.0,10132000000.0,7266000000.0,10132000000.0,,460000000.0,6773000000.0,7996000000.0,66241000000.0,1769000000.0,1218801890.0,1234000000.0,,460000000.0,460000000.0,1.3944398568676026,0.7171338333991315,,1.100467932837875,5.488654781199352,0.24346270300027525
2017-12-30,2018-05-03,10-Q,2018,Q1,7266000000.0,10132000000.0,7266000000.0,10132000000.0,,460000000.0,,,66241000000.0,1769000000.0,1219172261.0,,,460000000.0,460000000.0,1.3944398568676026,0.7171338333991315,,,,0.24346270300027525
2017-12-30,2018-08-03,10-Q,2018,Q2,7266000000.0,10132000000.0,7266000000.0,10132000000.0,,460000000.0,,,66241000000.0,1769000000.0,1219248231.0,,,460000000.0,460000000.0,1.3944398568676026,0.7171338333991315,,,,0.24346270300027525
2017-12-30,2018-11-02,10-Q,2018,Q3,7266000000.0,10132000000.0,7266000000.0,10132000000.0,,460000000.0,,,66241000000.0,1769000000.0,1219434812.0,,,460000000.0,460000000.0,1.3944398568676026,0.7171338333991315,,,,0.24346270300027525
2017-12-30,2019-06-07,10-K,2018,FY,7201000000.0,10154000000.0,7201000000.0,10154000000.0,,462000000.0,1509000000.0,7982000000.0,66070000000.0,1769000000.0,1219938804.0,308000000.0,,462000000.0,462000000.0,1.4100819330648522,0.7091786488083514,,1.1084571587279544,4.89935064935065,0.2456603249548674
2017-12-30,2019-08-13,10-Q,2019,Q1,,,,,,,,,66070000000.0,1769000000.0,1219991425.0,,,,,,,,,,
2017-12-30,2019-08-13,10-Q,2019,Q2,,,,,,,,,66070000000.0,1769000000.0,1219991425.0,,,,,,,,,,
2017-12-30,2019-10-31,10-Q,2019,Q3,,,,,,,,,66070000000.0,1769000000.0,1221160646.0,,,,,,,,,,
2017-12-30,2020-02-14,10-K,2019,FY,,,,,,,6057000000.0,10932000000.0,66070000000.0,1769000000.0,1221399549.0,1234000000.0,,,,,,,,4.908427876823339,
2017-12-30,2021-02-17,10-K,2020,FY,,,,,,,,,66070000000.0,1769000000.0,1223175747.0,,,,,,,,,,
2018-02-10,2018-02-16,10-K,2017,FY,,,,,,,,,,,1218801890.0,,,,,,,,,,
2018-03-31,2018-05-03,10-Q,2018,Q1,7437000000.0,10329000000.0,7437000000.0,10329000000.0,,1001000000.0,1481000000.0,993000000.0,66455000000.0,1800000000.0,1219172261.0,317000000.0,,1001000000.0,1001000000.0,1.3888664784187172,0.7200116177751961,,0.1335215812827753,4.6719242902208205,0.24203307785397338
2018-03-31,2019-06-07,10-K,2018,FY,7371000000.0,10287000000.0,7371000000.0,10287000000.0,,1003000000.0,1500000000.0,1003000000.0,66294000000.0,1800000000.0,1219938804.0,317000000.0,,1003000000.0,1003000000.0,1.3956043956043955,0.7165354330708661,,0.1360738027404694,4.73186119873817,0.2442002442002442
2018-03-31,2019-08-13,10-Q,2019,Q1,7371000000.0,10287000000.0,7371000000.0,10287000000.0,,1003000000.0,1500000000.0,1003000000.0,66294000000.0,1800000000.0,1219991425.0,317000000.0,,1003000000.0,1003000000.0,1.3956043956043955,0.7165354330708661,,0.1360738027404694,4.73186119873817,0.2442002442002442
2018-03-31,2019-08-13,10-Q,2019,Q2,,,,,,,,,66294000000.0,,1219991425.0,,,,,,,,,,
2018-03-31,2019-10-31,10-Q,2019,Q3,,,,,,,,,66294000000.0,,1221160646.0,,,,,,,,,,
2018-03-31,2020-02-14,10-K,2019,FY,,,,,,,,1003000000.0,,,1221399549.0,,,,,,,,,,
2018-04-28,2018-05-03,10-Q,2018,Q1,,,,,,,,,,,1219172261.0,,,,,,,,,,
2018-06-30,2018-08-03,10-Q,2018,Q2,9501000000.0,9091000000.0,9501000000.0,9091000000.0,,34000000.0,1329000000.0,755000000.0,65865000000.0,3375000000.0,1219248231.0,318000000.0,,34000000.0,34000000.0,0.9568466477212925,1.0450995490045099,,0.07946531944005894,4.179245283018868,0.35522576570887276
2018-06-30,2019-06-07,10-K,2018,FY,9480000000.0,9113000000.0,9480000000.0,9113000000.0,,34000000.0,1342000000.0,753000000.0,65708000000.0,3375000000.0,1219938804.0,316000000.0,,34000000.0,34000000.0,0.9612869198312236,1.0402721387029519,,0.07943037974683544,4.246835443037975,0.3560126582278481
2018-06-30,2019-08-13,10-Q,2019,Q2,9480000000.0,9113000000.0,9480000000.0,9113000000.0,,34000000.0,1357000000.0,753000000.0,65708000000.0,3375000000.0,1219991425.0,316000000.0,,34000000.0,34000000.0,0.9612869198312236,1.0402721387029519,,0.07943037974683544,4.294303797468355,0.3560126582278481
2018-06-30,2019-10-31,10-Q,2019,Q3,,,,,,,,,65708000000.0,,1221160646.0,,,,,,,,,,
2018-06-30,2020-02-14,10-K,2019,FY,,,,,,,,753000000.0,,,1221399549.0,,,,,,,,,,
2018-07-28,2018-08-03,10-Q,2018,Q2,,,,,,,,,,,1219248231.0,,,,,,,,,,
2018-09-29,2018-11-02,10-Q,2018,Q3,7590000000.0,7581000000.0,7590000000.0,7581000000.0,,973000000.0,1070000000.0,628000000.0,65572000000.0,1367000000.0,1219434812.0,327000000.0,,973000000.0,973000000.0,0.9988142292490119,1.001187178472497,,0.08274044795783926,3.27217125382263,0.18010540184453228
2018-09-29,2019-06-07,10-K,2018,FY,7556000000.0,7622000000.0,7556000000.0,7622000000.0,,973000000.0,1074000000.0,618000000.0,65407000000.0,1367000000.0,1219938804.0,326000000.0,,973000000.0,973000000.0,1.0087347803070408,0.9913408554185253,,0.08178930651138168,3.294478527607362,0.1809158284806776
2018-09-29,2019-10-31,10-Q,2019,Q3,7556000000.0,7622000000.0,7556000000.0,7622000000.0,,973000000.0,1074000000.0,618000000.0,65407000000.0,1367000000.0,1221160646.0,326000000.0,,973000000.0,973000000.0,1.0087347803070408,0.9913408554185253,,0.08178930651138168,3.294478527607362,0.1809158284806776
2018-09-29,2020-02-14,10-K,2019,FY,,,,,,,,618000000.0,,,1221399549.0,,,,,,,,,,
2018-10-27,2018-11-02,10-Q,2018,Q3,,,,,,,,,,,1219434812.0,,,,,,,,,,
2018-12-29,2019-06-07,10-K,2018,FY,9075000000.0,7503000000.0,9075000000.0,7503000000.0,,21000000.0,-14136000000.0,-12628000000.0,51775000000.0,1136000000.0,1219938804.0,325000000.0,,21000000.0,21000000.0,0.8267768595041323,1.2095161935225909,,-1.3915151515151516,-43.495384615384616,0.12517906336088155
2018-12-29,2019-08-13,10-Q,2019,Q1,9075000000.0,7503000000.0,9075000000.0,7503000000.0,,21000000.0,,,51775000000.0,1136000000.0,1219991425.0,,,21000000.0,21000000.0,0.8267768595041323,1.2095161935225909,,,,0.12517906336088155
2018-12-29,2019-08-13,10-Q,2019,Q2,9075000000.0,7503000000.0,9075000000.0,7503000000.0,,21000000.0,,,51775000000.0,1136000000.0,1219991425.0,,,21000000.0,21000000.0,0.8267768595041323,1.2095161935225909,,,,0.12517906336088155
2018-12-29,2019-10-31,10-Q,2019,Q3,9075000000.0,7503000000.0,9075000000.0,7503000000.0,,21000000.0,,,51775000000.0,1136000000.0,1221160646.0,,,21000000.0,21000000.0,0.8267768595041323,1.2095161935225909,,,,0.12517906336088155
2018-12-29,2020-02-14,10-K,2019,FY,9075000000.0,7503000000.0,9075000000.0,7503000000.0,,21000000.0,-10205000000.0,-12628000000.0,51775000000.0,1136000000.0,1221399549.0,1284000000.0,,21000000.0,21000000.0,0.8267768595041323,1.2095161935225909,,-1.3915151515151516,-7.947819314641745,0.12517906336088155
2018-12-29,2020-05-01,10-Q,2020,Q1,,,,,,,,,51775000000.0,1136000000.0,1221833078.0,,,,,,,,,,
2018-12-29,2020-07-31,10-Q,2020,Q2,,,,,,,,,51775000000.0,1136000000.0,1222578592.0,,,,,,,,,,
2018-12-29,2020-10-30,10-Q,2020,Q3,,,,,,,,,51775000000.0,1136000000.0,1222623168.0,,,,,,,,,,
2018-12-29,2021-02-17,10-K,2020,FY,,,,,,,-10205000000.0,-10254000000.0,51775000000.0,1136000000.0,1223175747.0,1284000000.0,,,,,,,,-7.947819314641745,
2018-12-29,2022-02-17,10-K,2021,FY,,,,,,,,,51775000000.0,1136000000.0,1223740203.0,,,,,,,,,,
2019-03-30,2019-08-13,10-Q,2019,Q1,8835000000.0,7972000000.0,8835000000.0,7972000000.0,,2000000.0,562000000.0,404000000.0,51833000000.0,1102000000.0,1219991425.0,321000000.0,,2000000.0,2000000.0,0.9023203169213356,1.1082538886101354,,0.045727221279003964,1.750778816199377,0.12473118279569892
2019-03-30,2019-08-13,10-Q,2019,Q2,,,,,,,,,51833000000.0,,1219991425.0,,,,,,,,,,
2019-03-30,2019-10-31,10-Q,2019,Q3,,,,,,,,,51833000000.0,,1221160646.0,,,,,,,,,,
2019-03-30,2020-02-14,10-K,2019,FY,,,,,,,,404000000.0,,,1221399549.0,,,,,,,,,,
2019-03-30,2020-05-01,10-Q,2020,Q1,,,,,,,562000000.0,404000000.0,51833000000.0,1102000000.0,1221833078.0,321000000.0,,,,,,,,1.750778816199377,
2019-03-30,2020-07-31,10-Q,2020,Q2,,,,,,,,,51833000000.0,,1222578592.0,,,,,,,,,,
2019-03-30,2020-10-30,10-Q,2020,Q3,,,,,,,,,51833000000.0,,1222623168.0,,,,,,,,,,
2019-03-30,2021-02-17,10-K,2020,FY,,,,,,,,404000000.0,,,1223175747.0,,,,,,,,,,
2019-06-05,2019-06-07,10-K,2018,FY,,,,,,,,,,,1219938804.0,,,,,,,,,,
