period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,long_term_debt,revenue,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,current_liabilities,current_assets,operating_income,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2014-12-31,2015-11-05,10-Q,2015,Q3,345072000000.0,298998000000.0,,,,46074000000.0,,507805789.0,,,,,,,,0.8664800389483934,,,,,
2014-12-31,2016-02-29,10-K,2015,FY,345072000000.0,298998000000.0,,15375000000.0,4207000000.0,46074000000.0,,501105185.0,906000000.0,,,,,,,0.8664800389483934,,0.2736260162601626,0.012191658552418046,,
2014-12-31,2016-05-04,10-Q,2016,Q1,,,,,,46074000000.0,,499323737.0,,,,,,,,,,,,,
2014-12-31,2016-08-03,10-Q,2016,Q2,,,,,,46074000000.0,,491409134.0,,,,,,,,,,,,,
2014-12-31,2016-11-04,10-Q,2016,Q3,,,,,,46074000000.0,,486501562.0,,,,,,,,,,,,,
2014-12-31,2017-02-28,10-K,2016,FY,,,,15375000000.0,4207000000.0,46074000000.0,,486156269.0,906000000.0,,,,,,,,,0.2736260162601626,,,
2014-12-31,2018-02-28,10-K,2017,FY,,,,,,46074000000.0,,471590384.0,,,,,,,,,,,,,
2015-02-13,2015-03-02,10-K,2014,FY,,,,,,,,520689714.0,,,,,,,,,,,,,
2015-03-31,2015-05-07,10-Q,2015,Q1,350960000000.0,304522000000.0,,3731000000.0,1004000000.0,46438000000.0,,517920355.0,247000000.0,,,,,,,0.8676829268292683,,0.2690967569016349,0.0028607248689309322,,
2015-03-31,2016-05-04,10-Q,2016,Q1,,,,3731000000.0,1004000000.0,46438000000.0,,499323737.0,247000000.0,,,,,,,,,0.2690967569016349,,,
2015-04-24,2015-05-07,10-Q,2015,Q1,,,,,,,,517920355.0,,,,,,,,,,,,,
2015-06-30,2015-08-05,10-Q,2015,Q2,353945000000.0,308033000000.0,,3866000000.0,1044000000.0,45912000000.0,,513599824.0,253000000.0,,,,,,,0.870284931274633,,0.27004655975168135,0.002949610815239656,,
2015-06-30,2016-08-03,10-Q,2016,Q2,,,,3866000000.0,1044000000.0,45912000000.0,,491409134.0,253000000.0,,,,,,,,,0.27004655975168135,,,
2015-07-24,2015-08-05,10-Q,2015,Q2,,,,,,,,513599824.0,,,,,,,,,,,,,
2015-09-30,2015-11-05,10-Q,2015,Q3,362125000000.0,315847000000.0,,3775000000.0,1073000000.0,46278000000.0,,507805789.0,279000000.0,,,,,,,0.8722043493268898,,0.2842384105960265,0.0029630652399033485,,
2015-09-30,2016-11-04,10-Q,2016,Q3,,,,3775000000.0,1073000000.0,46278000000.0,,486501562.0,279000000.0,,,,,,,,,0.2842384105960265,,,
2015-10-23,2015-11-05,10-Q,2015,Q3,,,,,,,,507805789.0,,,,,,,,,,,,,
2015-12-31,2016-02-29,10-K,2015,FY,358493000000.0,312513000000.0,,15225000000.0,4143000000.0,45980000000.0,,501105185.0,1045000000.0,,,,,,,0.8717408708119824,,0.2721182266009852,0.011556711009698933,,
2015-12-31,2016-05-04,10-Q,2016,Q1,358493000000.0,312513000000.0,,,,45980000000.0,,499323737.0,,,,,,,,0.8717408708119824,,,,,
2015-12-31,2016-08-03,10-Q,2016,Q2,358493000000.0,312513000000.0,,,,45980000000.0,,491409134.0,,,,,,,,0.8717408708119824,,,,,
2015-12-31,2016-11-04,10-Q,2016,Q3,358493000000.0,312513000000.0,,,,45980000000.0,,486501562.0,,,,,,,,0.8717408708119824,,,,,
2015-12-31,2017-02-28,10-K,2016,FY,358493000000.0,312513000000.0,,15225000000.0,4143000000.0,45980000000.0,,486156269.0,1045000000.0,,,,,,,0.8717408708119824,,0.2721182266009852,0.011556711009698933,,
2015-12-31,2017-05-03,10-Q,2017,Q1,,,,,,45980000000.0,,483901441.0,,,,,,,,,,,,,
2015-12-31,2017-08-02,10-Q,2017,Q2,,,,,,45980000000.0,,479206546.0,,,,,,,,,,,,,
2015-12-31,2017-10-31,10-Q,2017,Q3,,,,,,45980000000.0,,475801081.0,,,,,,,,,,,,,
2015-12-31,2018-02-28,10-K,2017,FY,,,,15225000000.0,4143000000.0,45980000000.0,,471590384.0,1045000000.0,,,,,,,,,0.2721182266009852,,,
2015-12-31,2019-03-01,10-K,2018,FY,,,,,,45980000000.0,,453612522.0,,,,,,,,,,,,,
2016-02-12,2016-02-29,10-K,2015,FY,,,,,,,,501105185.0,,,,,,,,,,,,,
2016-03-31,2016-05-04,10-Q,2016,Q1,360985000000.0,314657000000.0,,3665000000.0,943000000.0,46328000000.0,,499323737.0,309000000.0,,,,,,,0.8716622574345194,,0.2572987721691678,0.0026122969098438995,,
2016-03-31,2017-05-03,10-Q,2017,Q1,,,,3665000000.0,943000000.0,46328000000.0,,483901441.0,309000000.0,,,,,,,,,0.2572987721691678,,,
2016-04-22,2016-05-04,10-Q,2016,Q1,,,,,,,,499323737.0,,,,,,,,,,,,,
2016-06-30,2016-08-03,10-Q,2016,Q2,361335000000.0,314636000000.0,,3794000000.0,989000000.0,46699000000.0,,491409134.0,316000000.0,,,,,,,0.8707598212185368,,0.2606747496046389,0.002737072245976725,,
2016-06-30,2017-08-02,10-Q,2017,Q2,,,,3794000000.0,989000000.0,46699000000.0,,479206546.0,316000000.0,,,,,,,,,0.2606747496046389,,,
2016-07-22,2016-08-03,10-Q,2016,Q2,,,,,,,,491409134.0,,,,,,,,,,,,,
2016-09-30,2016-11-04,10-Q,2016,Q3,369348000000.0,322503000000.0,,3829000000.0,1006000000.0,46845000000.0,,486501562.0,313000000.0,,,,,,,0.8731683940348939,,0.26273178375554973,0.0027237185526928533,,
2016-09-30,2017-10-31,10-Q,2017,Q3,,,,3829000000.0,1006000000.0,46845000000.0,,475801081.0,313000000.0,,,,,,,,,0.26273178375554973,,,
2016-10-21,2016-11-04,10-Q,2016,Q3,,,,,,,,486501562.0,,,,,,,,,,,,,
2016-12-31,2017-02-28,10-K,2016,FY,366380000000.0,319526000000.0,,15162000000.0,3985000000.0,46854000000.0,,486156269.0,1261000000.0,,,,,,,0.8721163818985752,,0.26282812293892627,0.010876685408592173,,
2016-12-31,2017-05-03,10-Q,2017,Q1,366380000000.0,319526000000.0,,,,46854000000.0,,483901441.0,,,,,,,,0.8721163818985752,,,,,
2016-12-31,2017-08-02,10-Q,2017,Q2,366380000000.0,319526000000.0,,,,46854000000.0,,479206546.0,,,,,,,,0.8721163818985752,,,,,
2016-12-31,2017-10-31,10-Q,2017,Q3,366380000000.0,319526000000.0,,,,46854000000.0,,475801081.0,,,,,,,,0.8721163818985752,,,,,
2016-12-31,2018-02-28,10-K,2017,FY,366380000000.0,319526000000.0,,15162000000.0,3985000000.0,46854000000.0,,471590384.0,1261000000.0,,,,,,,0.8721163818985752,,0.26282812293892627,0.010876685408592173,,
2016-12-31,2018-05-03,10-Q,2018,Q1,,,,,,46854000000.0,,469498755.0,,,,,,,,,,,,,
2016-12-31,2018-08-02,10-Q,2018,Q2,,,,,,46854000000.0,,464302343.0,,,,,,,,,,,,,
2016-12-31,2018-11-01,10-Q,2018,Q3,,,,,,46854000000.0,,461424528.0,,,,,,,,,,,,,
2016-12-31,2019-03-01,10-K,2018,FY,,,,15162000000.0,3985000000.0,46854000000.0,,453612522.0,1261000000.0,,,,,,,,,0.26282812293892627,,,
2016-12-31,2020-03-02,10-K,2019,FY,,,,,,46854000000.0,,428726784.0,,,,,,,,,,,,,
2017-02-10,2017-02-28,10-K,2016,FY,,,,,,,,486156269.0,,,,,,,,,,,,,
2017-03-31,2017-05-03,10-Q,2017,Q1,370944000000.0,325041000000.0,,3884000000.0,1074000000.0,45903000000.0,,483901441.0,360000000.0,,,,,,,0.8762535584886129,,0.276519052523172,0.002895315734989648,,
2017-03-31,2018-05-03,10-Q,2018,Q1,,,,3884000000.0,1074000000.0,45903000000.0,,469498755.0,360000000.0,,,,,,,,,0.276519052523172,,,
2017-04-21,2017-05-03,10-Q,2017,Q1,,,,,,,,483901441.0,,,,,,,,,,,,,
2017-06-30,2017-08-02,10-Q,2017,Q2,372190000000.0,326005000000.0,,4060000000.0,1097000000.0,46185000000.0,,479206546.0,416000000.0,,,,,,,0.8759101534162659,,0.2701970443349754,0.002947419328837422,,
2017-06-30,2018-08-02,10-Q,2018,Q2,,,,4060000000.0,1097000000.0,46185000000.0,,464302343.0,416000000.0,,,,,,,,,0.2701970443349754,,,
2017-07-21,2017-08-02,10-Q,2017,Q2,,,,,,,,479206546.0,,,,,,,,,,,,,
2017-09-30,2017-10-31,10-Q,2017,Q3,375191000000.0,328739000000.0,,4125000000.0,1126000000.0,46452000000.0,,475801081.0,450000000.0,,,,,,,0.8761910600200964,,0.272969696969697,0.003001138087001021,,
2017-09-30,2018-11-01,10-Q,2018,Q3,,,,4125000000.0,1126000000.0,46452000000.0,,461424528.0,450000000.0,,,,,,,,,0.272969696969697,,,
2017-10-20,2017-10-31,10-Q,2017,Q3,,,,,,,,475801081.0,,,,,,,,,,,,,
2017-12-31,2018-02-28,10-K,2017,FY,380768000000.0,333183000000.0,,16329000000.0,5388000000.0,47585000000.0,,471590384.0,1706000000.0,,,,,,,0.8750288889822674,,0.3299650927797171,0.0141503487688041,,
